Word,A.Mean.Sum,D.Mean.Sum
aardvark,2.41,4.27
abalone,2.65,4.95
abandon,3.73,3.32
abandonment,4.95,2.64
abbey,2.2,5.0
abdomen,3.68,5.15
abdominal,3.5,5.32
abduct,5.9,2.75
abduction,5.33,3.02
abide,3.26,5.33
abiding,3.59,6.6
ability,4.85,6.55
abject,3.94,4.35
ablaze,6.75,4.58
able,3.38,6.17
abnormal,4.48,4.7
abnormality,5.0,3.96
abode,2.9,5.05
abolish,4.18,4.65
abominable,5.45,4.62
abomination,5.9,3.8
abort,5.8,3.38
abortion,5.43,4.73
abracadabra,5.27,4.96
abrasive,6.1,4.94
abreast,4.61,5.19
abrupt,5.23,3.75
abscess,4.0,3.95
absence,4.3,4.24
absent,3.72,4.21
absinthe,3.7,3.95
absolute,3.48,5.58
absolution,3.38,5.75
absolve,3.53,4.82
absorb,4.27,5.62
abstain,3.1,6.08
abstinence,3.15,5.64
abstract,3.96,5.53
absurd,4.02,5.06
absurdity,4.7,5.37
abundance,4.72,5.66
abundant,4.21,5.81
abuse,6.21,2.9
abusive,5.27,3.58
abysmal,3.91,3.76
abyss,4.85,4.0
academic,3.32,6.21
academy,3.77,5.38
accelerant,4.81,6.04
accelerate,6.04,6.15
accelerated,4.75,6.29
acceleration,6.73,5.76
accelerator,5.0,6.65
accent,4.95,5.36
accept,2.8,5.94
acceptable,3.65,6.58
acceptance,4.3,6.49
access,5.3,6.89
accessible,3.2,6.58
accessory,4.22,5.83
accident,4.93,3.0
accidental,4.0,3.41
acclaim,3.95,5.77
accommodate,3.0,6.27
accommodation,4.72,6.0
accompany,3.85,5.63
accomplice,4.5,5.2
accomplish,5.16,7.27
accomplishment,4.96,6.5
accord,2.85,5.64
accordion,2.94,5.21
account,3.76,5.06
accountability,3.7,6.55
accountable,4.2,5.57
accountant,3.81,5.72
accounting,3.68,4.48
accumulate,2.73,6.15
accuracy,3.33,6.74
accurate,4.35,6.47
accursed,5.33,4.13
accusation,5.48,3.62
accuse,5.32,4.0
ace,4.64,6.61
acetylene,3.67,4.7
ache,4.3,4.0
achieve,4.7,6.61
achievement,5.57,7.17
achy,4.48,4.62
acid,4.77,4.26
acknowledge,3.26,6.11
acknowledgement,3.3,6.71
acne,4.47,3.44
acorn,4.42,4.77
acoustic,4.0,5.79
acoustics,3.19,5.86
acquaintance,3.24,5.29
acquire,4.86,7.0
acquisition,4.36,5.93
acquit,4.56,5.45
acquittal,4.95,5.03
acre,2.73,4.94
acreage,3.74,5.52
acrobat,4.9,5.42
acrylic,3.73,5.42
act,4.19,6.11
action,6.19,6.17
action figure,4.65,6.71
activate,3.78,6.28
activation,3.52,6.88
active,5.62,6.32
activist,5.26,5.86
activity,4.86,6.45
actor,4.35,5.64
actress,5.43,4.65
actual,2.75,5.54
actuality,5.55,5.24
acupuncture,4.9,4.77
acute,5.09,5.11
ad,3.33,5.18
adage,3.38,5.13
adamant,5.74,6.38
adapt,3.9,5.75
adaptation,3.55,6.04
add,4.0,6.79
adder,3.24,4.41
addict,5.33,2.74
addicted,4.77,2.84
addiction,4.48,3.84
addictive,4.82,4.4
additional,3.61,4.95
address,3.05,4.89
adept,4.17,6.5
adequate,3.64,6.89
adhere,3.52,3.9
adhesive,3.2,4.88
Adidas,4.18,6.3
adjacent,2.78,4.27
adjective,3.64,6.11
adjoining,3.52,4.65
adjourn,3.15,5.75
adjust,3.0,6.0
adjuster,3.5,5.84
adjustment,4.59,4.53
admin,3.64,5.83
administer,3.86,6.33
administration,3.23,4.77
administrative,3.21,5.9
administrator,4.74,5.48
admirable,4.57,5.81
admiral,4.05,5.68
admiralty,4.27,6.08
admiration,5.52,6.11
admire,5.0,7.33
admired,5.95,6.94
admirer,6.0,6.27
admissible,2.9,6.21
admission,3.69,5.54
admit,3.35,4.56
admittance,3.6,5.96
ado,3.33,4.48
adobe,3.89,5.55
adolescence,5.1,4.44
adolescent,4.2,4.0
adopt,4.71,5.45
adoption,4.82,5.62
adoptive,4.4,5.59
adorable,4.66,6.83
adoration,4.36,6.54
adore,5.96,6.26
adoring,4.86,6.29
adrenalin,5.05,4.85
adrenaline,5.95,5.72
adrift,3.19,4.09
adult,4.36,6.46
adulterer,5.68,3.2
adultery,6.42,3.33
adulthood,4.28,6.11
advance,4.62,6.12
advanced,3.83,6.96
advancement,5.81,6.38
advantage,3.95,7.19
advantageous,5.7,6.22
adventure,6.36,6.36
adventurer,5.27,5.83
adventurous,6.67,5.71
adversary,4.41,5.0
adverse,3.89,3.35
adversity,3.82,4.63
advertise,4.29,5.74
advertisement,4.14,5.84
advertising,3.25,5.0
advice,3.05,5.83
advisable,4.36,5.86
